Fe,Co,Ni,Kerr,Coercivity
23.3,30.8,45.9,0.3365,-1.8369
27.9,60.3,11.7,0.64224,-3.7911
24.7,24.0,51.3,0.32841,-1.7696
44.1,35.4,20.5,0.46738,-3.4603
18.1,8.1,73.8,0.039506,-7.5663
38.7,17.2,44.1,0.39209,-2.0567
20.1,49.0,31.0,0.37999,-2.9788
37.4,8.1,54.5,0.11473,-7.8431
5.1,28.5,66.4,0.14188,-1.6128
61.0,14.9,24.1,0.46241,-2.0012
38.5,46.7,14.8,0.56146,-4.4581
5.0,44.4,50.6,0.21102,-1.9988
67.4,5.9,26.7,0.14673,-8.8507
18.3,33.1,48.6,0.30717,-1.6632000000000002
46.4,17.2,36.4,0.42834,-2.0195
35.6,19.5,44.9,0.38536,-1.6202
7.2,39.9,52.9,0.20228,-1.9792
65.2,10.4,24.4,0.44055,-5.3939
45.4,44.4,10.1,0.61117,-4.0903
46.9,37.6,15.5,0.50136,-3.9848
14.1,64.8,21.0,0.40872,-2.3745000000000003
30.0,44.4,25.6,0.45263,-3.9031
7.5,21.7,70.8,0.14291,-1.5574
57.9,17.2,24.9,0.46902,-1.8862
21.5,42.2,36.3,0.34751,-2.769
56.8,19.5,23.7,0.46659,-1.8571
37.1,26.3,36.7,0.41861,-1.5989
51.0,19.5,29.5,0.44274,-1.7524000000000002
36.4,21.7,41.8,0.4049,-1.7553999999999998
