Fe,Co,Ni,Kerr,Coercivity
23.6,26.3,50.1,0.32366,-1.7178
12.0,53.5,34.5,0.29848,-2.2684
27.4,26.3,46.3,0.3602,-1.6288
10.9,14.9,74.2,0.13705,-5.9242
26.0,33.1,40.9,0.3529,-2.0989
64.1,26.3,9.7,0.51304,-2.4955
37.9,55.8,6.3,0.76151,-3.894
19.3,46.7,34.0,0.34994,-3.0606
21.6,12.7,65.7,0.14052,-10.064
38.5,5.9,55.6,0.2579,-7.953799999999999
55.7,35.4,8.9,0.55255,-3.6106
49.1,19.5,31.4,0.44934,-1.8075
11.4,21.7,66.9,0.18477,-1.5986
40.5,46.7,12.8,0.58479,-4.172
25.8,49.0,25.2,0.46068,-3.5901000000000005
17.2,35.4,47.5,0.29334,-1.7906
5.0,71.7,23.4,0.27101,-3.0878
22.5,28.5,49.0,0.32601,-1.7816
14.9,67.1,17.9,0.44755,-2.4219
4.3,26.3,69.4,0.12625,-1.5608
10.6,60.3,29.1,0.31793,-2.2454
4.0,58.0,38.0,0.26316,-2.1485
6.8,3.6,89.6,0.021533,-2.1433
20.9,51.2,27.9,0.41492,-3.1192
47.2,19.5,33.3,0.43846,-1.7777999999999998
19.7,12.7,67.6,0.11985,-10.105
30.6,21.7,47.6,0.36644,-1.6321
71.0,10.4,18.7,0.45726,-3.3852
29.6,64.8,5.6,0.73529,-4.1545000000000005
7.8,17.2,75.0,0.12977,-2.3505
73.4,17.2,9.4,0.49033,-1.9981
6.4,37.6,56.0,0.18938,-1.8388
15.4,73.9,10.7,0.55694,-2.5218
20.2,19.5,60.3,0.25416,-1.9012
19.6,69.4,11.0,0.59668,-3.0607
22.3,71.7,6.0,0.67798,-3.2993
10.0,69.4,20.7,0.34182,-2.2432
29.9,60.3,9.8,0.67447,-3.8411
34.8,17.2,48.0,0.36722,-2.0292000000000003
61.6,5.9,32.5,0.14791,-7.979999999999999
80.6,10.4,9.0,0.48044,-2.348
30.2,55.8,14.0,0.59754,-4.2818
8.8,44.4,46.8,0.25062,-1.8705
47.5,28.5,23.9,0.45549,-2.7101
50.1,5.9,44.1,0.091646,-7.492900000000001
4.8,19.5,75.8,0.10081,-1.6672999999999998
15.5,30.8,53.6,0.26715,-1.6954
62.9,14.9,22.1,0.47307,-1.9307
55.2,14.9,29.9,0.44969,-1.8906
35.1,26.3,38.6,0.41493,-1.7433
39.8,14.9,45.3,0.38094,-3.6762
38.7,30.8,30.5,0.42053,-2.3657
80.3,14.9,4.8,0.50429,-2.8065
61.8,17.2,21.0,0.47251,-1.8379
48.0,35.4,16.6,0.486,-3.3521
58.8,19.5,21.8,0.46344,-1.9993
74.8,10.4,14.8,0.47115,-2.6870000000000003
49.6,39.9,10.5,0.55884,-4.0146
6.5,85.3,8.2,0.52873,-2.7958
30.8,5.9,63.4,0.083244,-5.790699999999999
17.8,12.7,69.6,0.10412,-10.567
18.9,10.4,70.7,0.060593,-8.5701
7.3,10.4,82.3,0.032304,-7.0618
12.0,12.7,75.3,0.10743,-10.006
38.2,24.0,37.8,0.41599,-1.6545999999999998
10.1,80.7,9.1,0.52645,-2.7442
42.2,21.7,36.1,0.43518,-1.7594999999999998
39.8,55.8,4.4,0.82504,-3.8966
60.7,19.5,19.9,0.47127,-1.8692
41.1,37.6,21.3,0.46232,-3.7535
39.5,19.5,41.1,0.40336,-1.6773
8.1,12.7,79.2,0.085449,-8.883
7.5,62.6,29.9,0.29966,-2.1553
26.6,24.0,49.4,0.34766,-1.5764
63.7,17.2,19.1,0.47078,-1.9595
21.2,46.7,32.1,0.37593,-3.0477
23.0,62.6,14.5,0.57938,-3.5058
41.9,39.9,18.2,0.48882,-4.3366
51.7,24.0,24.3,0.46451,-2.1772
