Fe,Co,Ni,Kerr,Coercivity
9.4,35.4,55.2,0.2192,-1.814
37.9,14.9,47.2,0.37137,-3.8805
37.1,53.5,9.4,0.70231,-4.2921
43.0,37.6,19.4,0.47601,-3.8562
15.4,46.7,37.9,0.29738,-2.5875
30.2,28.5,41.3,0.38823,-1.8383
28.7,35.4,35.9,0.3685,-2.7324
8.5,76.2,15.3,0.38827,-2.0881
25.5,12.7,61.8,0.18982,-9.253
30.5,24.0,45.5,0.3756,-1.6919
20.8,24.0,55.2,0.29336,-1.7117
8.8,71.7,19.5,0.34711,-2.2478
4.3,12.7,83.1,0.066236,-7.831799999999999
84.0,3.6,12.5,0.43266,-2.7916
13.8,42.2,44.1,0.29021,-2.2418
15.3,62.6,22.2,0.4091,-2.4097
22.6,39.9,37.5,0.34654,-2.704
7.4,51.2,41.4,0.26822,-1.8276
42.2,35.4,22.4,0.45049,-3.4189
32.4,51.2,16.3,0.54852,-4.2744
28.9,46.7,24.4,0.45692,-3.8103
72.1,8.1,19.8,0.32664,-7.690900000000001
28.6,51.2,20.2,0.49742,-4.0379
45.0,37.6,17.4,0.48644,-3.937
69.8,26.3,3.9,0.5727,-4.2271
9.8,30.8,59.4,0.19908,-1.9539
86.7,5.9,7.5,0.47566,-3.2772
