Fe,Co,Ni,Kerr,Coercivity
10.8,71.7,17.6,0.3988,-2.3141
23.6,53.5,22.9,0.47298,-3.4284
7.0,28.5,64.4,0.16438,-1.7096
49.9,21.7,28.3,0.45833,-1.7475999999999998
4.0,30.8,65.2,0.12651,-1.6367999999999998
19.6,42.2,38.3,0.32419,-2.7197
6.3,80.7,13.0,0.40425,-2.768
11.1,67.1,21.8,0.34397,-2.1583
27.6,64.8,7.5,0.7004,-4.2828
9.1,39.9,51.0,0.23913,-1.8413
25.2,58.0,16.7,0.55982,-3.8794
8.0,42.2,49.8,0.23126,-1.946
7.1,55.8,37.2,0.2862,-2.0536000000000003
22.9,35.4,41.7,0.33732,-2.0456
21.2,73.9,4.9,0.68342,-3.4383000000000004
37.2,37.6,25.1,0.43592,-3.5029000000000003
13.4,5.9,80.7,0.043906,-6.4327
34.0,14.9,51.1,0.33841,-4.7327
43.2,49.0,7.8,0.67195,-4.231
36.3,10.4,53.4,0.11093,-7.5724
27.9,33.1,39.0,0.36578,-2.2718
24.2,3.6,72.2,0.017802,-2.8056
53.8,35.4,10.9,0.53532,-3.4886000000000004
15.0,10.4,74.6,0.050894,-8.1911
39.7,44.4,15.9,0.52966,-4.4468000000000005
28.7,62.6,8.7,0.69465,-3.9741
21.4,58.0,20.6,0.48748,-3.4026000000000005
5.1,55.8,39.1,0.27317,-2.0133
4.2,69.4,26.4,0.24218,-3.3613
17.0,51.2,31.8,0.34967,-2.6919
77.9,8.1,14.0,0.40977,-4.8397
9.4,35.4,55.2,0.2192,-1.814
37.9,14.9,47.2,0.37137,-3.8805
37.1,53.5,9.4,0.70231,-4.2921
43.0,37.6,19.4,0.47601,-3.8562
15.4,46.7,37.9,0.29738,-2.5875
30.2,28.5,41.3,0.38823,-1.8383
28.7,35.4,35.9,0.3685,-2.7324
8.5,76.2,15.3,0.38827,-2.0881
25.5,12.7,61.8,0.18982,-9.253
30.5,24.0,45.5,0.3756,-1.6919
20.8,24.0,55.2,0.29336,-1.7117
8.8,71.7,19.5,0.34711,-2.2478
4.3,12.7,83.1,0.066236,-7.831799999999999
84.0,3.6,12.5,0.43266,-2.7916
13.8,42.2,44.1,0.29021,-2.2418
15.3,62.6,22.2,0.4091,-2.4097
22.6,39.9,37.5,0.34654,-2.704
7.4,51.2,41.4,0.26822,-1.8276
42.2,35.4,22.4,0.45049,-3.4189
32.4,51.2,16.3,0.54852,-4.2744
28.9,46.7,24.4,0.45692,-3.8103
72.1,8.1,19.8,0.32664,-7.690900000000001
28.6,51.2,20.2,0.49742,-4.0379
45.0,37.6,17.4,0.48644,-3.937
69.8,26.3,3.9,0.5727,-4.2271
9.8,30.8,59.4,0.19908,-1.9539
86.7,5.9,7.5,0.47566,-3.2772
30.0,3.6,66.4,0.036885,-5.7859
36.8,58.0,5.2,0.79251,-3.6644
37.1,12.7,50.3,0.32209,-8.4405
84.4,10.4,5.2,0.48431,-2.2801
39.6,3.6,56.8,0.13227,-9.1379
16.4,60.3,23.3,0.40897,-2.4436
57.1,14.9,27.9,0.45707,-1.8612
34.8,30.8,34.4,0.39466,-2.1432
16.7,55.8,27.5,0.38225,-2.7413
57.5,24.0,18.5,0.47507,-2.3206
19.4,17.2,63.4,0.23731,-2.931
46.7,26.3,27.0,0.45121,-1.9663
46.2,46.7,7.1,0.64198,-4.0875
32.4,24.0,43.6,0.38775,-1.6863
8.3,37.6,54.1,0.21359,-1.883
17.5,30.8,51.7,0.29323,-1.7211
76.7,10.4,12.9,0.47603,-2.5877
57.8,5.9,36.4,0.17465,-9.9239
9.0,28.5,62.5,0.1839,-1.7050999999999998
4.2,42.2,53.7,0.18104,-1.8647
14.2,8.1,77.6,0.076077,-9.1566
17.0,78.5,4.5,0.67774,-2.8044
35.6,33.1,31.3,0.41071,-2.5624
53.9,5.9,40.2,0.17155,-10.934
64.7,3.6,31.7,0.18863,-8.1598
42.0,10.4,47.6,0.14482,-9.0689
14.6,3.6,81.9,0.034565,-4.0761
29.0,30.8,40.1,0.38013,-1.9401
55.5,24.0,20.5,0.46932,-2.265
62.1,12.7,25.2,0.45014,-2.3812
34.0,55.8,10.2,0.68725,-4.2336
6.2,12.7,81.1,0.079916,-8.392199999999999
13.6,58.0,28.3,0.33837,-2.2385
77.1,5.9,17.1,0.26903,-7.382099999999999
69.2,21.7,9.1,0.49852,-2.5683
25.5,53.5,21.0,0.50325,-3.6062
44.0,51.2,4.8,0.76717,-3.8068
34.4,51.2,14.4,0.59427,-4.3772
5.9,17.2,76.9,0.1112,-2.009
37.4,49.0,13.6,0.59853,-4.3971
16.7,14.9,68.4,0.18665,-6.4537
30.5,51.2,18.3,0.50701,-4.2467
28.2,28.5,43.2,0.37402,-1.7328
39.8,28.5,31.7,0.42275,-2.1139
4.6,85.3,10.1,0.45025,-3.0351
30.7,62.6,6.7,0.7331,-4.1906
56.0,17.2,26.8,0.45659,-1.8729
35.1,12.7,52.2,0.29694,-8.5464
32.4,10.4,57.2,0.1002,-7.7721
24.9,35.4,39.8,0.34481,-2.4157
24.7,51.2,24.0,0.46461,-3.6956
13.1,24.0,62.9,0.20128,-1.5319
35.5,49.0,15.6,0.55979,-4.4951
59.9,30.8,9.3,0.53019,-3.2076
19.1,62.6,18.3,0.49564,-2.7025
18.6,55.8,25.6,0.42079,-2.8153
58.6,8.1,33.3,0.14755,-8.173300000000001
5.6,35.4,59.1,0.17083,-1.7856999999999998
36.3,24.0,39.7,0.41026,-1.8849
89.7,3.6,6.7,0.46683,-2.2079
7.3,87.5,5.1,0.63603,-2.4198
13.3,35.4,51.3,0.26225,-1.8165
23.1,5.9,71.1,0.023398,-4.7691
27.4,12.7,59.9,0.22442,-9.1221
26.1,3.6,70.3,0.013215,-2.0055
10.9,55.8,33.3,0.304,-2.1526
58.8,33.1,8.2,0.56051,-3.3873
29.4,26.3,44.4,0.37404,-1.7884
41.7,28.5,29.7,0.42983,-2.3208
13.3,21.7,65.0,0.20166,-1.5374
85.6,8.1,6.3,0.48355,-2.9512
65.3,21.7,12.9,0.48217,-2.4418
7.5,35.4,57.1,0.19231,-1.9464
53.8,21.7,24.5,0.45933,-2.0623
9.0,55.8,35.2,0.29616,-2.1628
35.9,14.9,49.1,0.3559,-4.3495
66.6,3.6,29.8,0.27286,-7.0982
41.4,19.5,39.1,0.41915,-1.669
45.8,39.9,14.4,0.51918,-4.2491
40.1,24.0,35.9,0.42687,-1.8047
48.3,17.2,34.5,0.43557,-1.7314
22.8,10.4,66.8,0.058992,-8.3753
8.3,64.8,26.8,0.31413,-2.221
5.7,83.0,11.3,0.43652,-3.0076
6.1,42.2,51.8,0.21078,-1.8416
24.9,62.6,12.5,0.61419,-3.7614
44.5,30.8,24.7,0.45189,-2.5574000000000003
9.3,78.5,12.2,0.45267,-2.4204
5.9,30.8,63.3,0.15715,-1.6285
25.7,64.8,9.5,0.66583,-3.9931
32.1,14.9,53.0,0.32038,-5.1061
58.4,37.6,3.9,0.64359,-3.5413
11.4,35.4,53.3,0.2356,-1.8301
23.1,46.7,30.2,0.39569,-2.9267
58.3,12.7,29.1,0.44015,-2.988
31.0,58.0,11.0,0.62342,-4.068099999999999
41.3,49.0,9.8,0.65381,-4.3624
61.8,30.8,7.4,0.5465,-3.3168
32.8,46.7,20.6,0.49265,-4.132
54.9,33.1,12.0,0.5109,-3.4183
65.5,5.9,28.7,0.17167,-8.4958
63.7,30.8,5.4,0.57707,-3.63
15.2,35.4,49.4,0.28311,-2.05
25.4,69.4,5.2,0.68889,-3.4821
27.5,53.5,19.0,0.52832,-3.7201
14.7,14.9,70.3,0.17057,-6.5634
51.2,3.6,45.2,0.1145,-8.3705
45.3,19.5,35.3,0.4314,-1.7725000000000002
32.1,28.5,39.4,0.3966,-1.8925
34.3,10.4,55.3,0.11037,-7.545199999999999
42.5,17.2,40.3,0.40446,-1.9723
54.4,12.7,32.9,0.4298,-4.1449
44.0,24.0,32.0,0.44406,-1.701
20.2,60.3,19.5,0.48846,-3.0597000000000003
56.3,26.3,17.4,0.48079,-2.5771
31.0,30.8,38.2,0.38824,-2.3204
57.6,21.7,20.6,0.47096,-2.0172
22.5,55.8,21.8,0.48193,-3.2528
54.9,19.5,25.6,0.46265,-1.9229
26.2,44.4,29.4,0.40963,-3.3643
10.4,8.1,81.5,0.035725,-6.987
22.3,44.4,33.3,0.36534,-3.1867
18.5,71.7,9.9,0.60239,-2.8579
70.1,8.1,21.7,0.27475,-8.2974
69.0,24.0,7.0,0.52597,-3.2593000000000005
9.6,5.9,84.6,0.023254,-4.6289
34.0,28.5,37.4,0.39684,-2.128
12.5,19.5,68.0,0.18125,-1.6319
10.1,12.7,77.3,0.10335,-9.2795
18.6,28.5,52.9,0.29119,-1.6606999999999998
27.7,8.1,64.1,0.044728,-6.766500000000001
18.8,39.9,41.3,0.30893,-2.3732
53.1,3.6,43.3,0.13284,-7.971999999999999
39.3,49.0,11.7,0.63552,-4.3043
40.4,5.9,53.7,0.11403,-6.0547
56.7,8.1,35.2,0.15188,-8.2149
54.1,17.2,28.7,0.4456,-1.7088
17.7,69.4,12.9,0.55424,-2.7117
13.9,26.3,59.8,0.22796,-1.6082999999999998
64.4,8.1,27.5,0.16814,-7.1577
